sub_region_2,MUNID,type
Algoma District,57000,
Brant County,,census division
Brantford,,city
Bruce County,41000,
Chatham-Kent Division,,census division
Cochrane District,56000,
Dufferin County,22000,
Elgin County,34000,
Essex County,37000,
Frontenac County,10000,
Greater Sudbury Division,52000,
Grey County,42000,
Haldimand County,,city
Haliburton County,46000,
Hamilton Division,,census division
Hastings County,12000,
Huron County,40000,
Kawartha Lakes Division,,census division
Kenora District,60000,
Lambton County,38000,
Lanark County,9000,
Leeds and Grenville United Counties,7000,
Lennox and Addington County,11000,
Manitoulin District,51000,
Middlesex County,39000,
Muskoka District Municipality,44000,
Nipissing District,48000,
Norfolk County,,city
Northumberland County,14000,
Ottawa Division,,census division
Oxford County,32000,
Parry Sound District,49000,
Perth County,31000,
Peterborough County,15000,
Prescott and Russell United Counties,2000,
Prince Edward County,,city
Rainy River District,59000,
Regional Municipality of Durham,18000,
Regional Municipality of Halton,24000,
Regional Municipality of Niagara,26000,
Regional Municipality of Peel,21000,
Regional Municipality of York,19000,
Renfrew County,47000,
Simcoe County,43000,
"Stormont, Dundas and Glengarry United Counties",1000,
Sudbury District,52000,
Thunder Bay District,58000,
Timiskaming District,54000,
Toronto Division,,census division
Waterloo Regional Municipality,30000,
Wellington County,23000,
